grape_code,grape,sinonimi
977,PATTARESCA,
978,TOURIGA NACIONAL,
979,VIOSINHO,
980,XINOMAVRO,
985,AGOSTINA,
986,CASTAGNARA,
987,CASSINA,
988,INGANNAPASTORE,
989,SABATO,
990,SUPPEZZA,
991,TENNECCHIA,
992,UVA URMO,
994,NERO ANTICO,
995,COCOZZA,
996,REGINELLA,
997,RACINA PICCOLA,
998,VODORIN,
999,BREPONA,
